"corpus","file","row","axis","direction","screen","flags","evidence","text"
"source_pool","data/question-pools/axis1-empathy-detachment.json","12","Empathy","empathy","conditional_only","conditional_only","when","It is hard for me to turn away from someone's pain, even when I can't fix it."
"source_pool","data/question-pools/axis1-empathy-detachment.json","13","Empathy","empathy","conditional_only","conditional_only","when","Another person's hardship pulls at me even when responding is difficult."
"source_pool","data/question-pools/axis1-empathy-detachment.json","14","Empathy","empathy","context_candidate","event","suffering","When someone is suffering, I want to act, not just understand."
"source_pool","data/question-pools/axis1-empathy-detachment.json","15","Empathy","empathy","context_candidate","event","suffering","Someone's suffering matters to me even when they can't put their need into words."
"source_pool","data/question-pools/axis1-empathy-detachment.json","16","Empathy","empathy","context_candidate","event","suffering","When someone is suffering, its claim on me is immediate; I don't need a further reason."
"source_pool","data/question-pools/axis1-empathy-detachment.json","17","Empathy","empathy","context_candidate","event","suffering","The wish to respond to others' suffering is one of the strongest forces shaping my daily choices."
"source_pool","data/question-pools/axis1-empathy-detachment.json","18","Empathy","empathy","conditional_only","conditional_only","when","Someone's pain matters even more to me when they have no one else to turn to."
"source_pool","data/question-pools/axis1-empathy-detachment.json","19","Empathy","empathy","context_candidate","event","suffering","The felt weight of another person's suffering strongly motivates me to act for them."
"source_pool","data/question-pools/axis1-empathy-detachment.json","20","Empathy","empathy","no_lexical_cue","","","Feeling the weight of others' hardship keeps me from becoming complacent about it."
"source_pool","data/question-pools/axis1-empathy-detachment.json","21","Empathy","empathy","context_candidate","event","suffering","I feel a genuine pull to act when I encounter suffering, not just to notice it."
"source_pool","data/question-pools/axis1-empathy-detachment.json","22","Empathy","empathy","conditional_only","conditional_only","When","When someone trusts me with their pain, I want to hold it with care."
"source_pool","data/question-pools/axis1-empathy-detachment.json","23","Empathy","empathy","no_lexical_cue","","","I find it hard to ignore a person's pain just to stay comfortable."
"source_pool","data/question-pools/axis1-empathy-detachment.json","24","Empathy","empathy","context_candidate","relationship","stranger; friend","A stranger's pain matters to me as much as a friend's."
"source_pool","data/question-pools/axis1-empathy-detachment.json","25","Empathy","empathy","context_candidate","event","suffering","I don't turn away from suffering because it is complex or uncomfortable."
"source_pool","data/question-pools/axis1-empathy-detachment.json","26","Empathy","empathy","context_candidate","event","suffering","Others' suffering carries real weight for me."
"source_pool","data/question-pools/axis1-empathy-detachment.json","27","Empathy","empathy","context_candidate","event","suffering","Each new encounter with suffering still matters to me; it doesn't become routine."
"source_pool","data/question-pools/axis1-empathy-detachment.json","28","Empathy","empathy","context_candidate","event","suffering","When someone's suffering is vivid to me, I feel a strong wish to ease it."
"source_pool","data/question-pools/axis1-empathy-detachment.json","29","Empathy","empathy","context_candidate","event","suffering","When I learn about suffering in a place I have never visited, the people affected matter to me."
"source_pool","data/question-pools/axis1-empathy-detachment.json","30","Empathy","empathy","context_candidate","event","suffering","Understanding how many people a problem harms makes me want to see their suffering reduced."
"source_pool","data/question-pools/axis1-empathy-detachment.json","31","Empathy","empathy","conditional_only","conditional_only","When","When an explanation shows me how someone is being harmed, I begin to care about what happens to them."
"source_pool","data/question-pools/axis1-empathy-detachment.json","32","Empathy","empathy","no_lexical_cue","","","As I learn the reasons a person is struggling, their wellbeing becomes more important to me."
"source_pool","data/question-pools/axis1-empathy-detachment.json","33","Empathy","empathy","conditional_only","conditional_only","after","Someone's continuing hardship still matters to me long after I first heard about it."
"source_pool","data/question-pools/axis1-empathy-detachment.json","34","Empathy","empathy","conditional_only","conditional_only","When","When I think through someone's problem, I care about the pain it is causing them."
"source_pool","data/question-pools/axis1-empathy-detachment.json","35","Empathy","empathy","conditional_only","conditional_only","When","When I hear that an unfamiliar person is in pain, I want their situation to improve."
"source_pool","data/question-pools/axis1-empathy-detachment.json","36","Empathy","empathy","context_candidate","event","suffering","When a report describes people's suffering in impersonal terms, I still care about the people behind it."
"source_pool","data/question-pools/axis1-empathy-detachment.json","37","Empathy","empathy","no_lexical_cue","","","Evidence that people are experiencing preventable pain makes me want that pain relieved."
"source_pool","data/question-pools/axis1-empathy-detachment.json","38","Empathy","empathy","conditional_only","conditional_only","When","When I recognize that someone could be seriously hurt, preventing that harm matters to me personally."
"source_pool","data/question-pools/axis1-empathy-detachment.json","39","Empathy","empathy","conditional_only","conditional_only","when","Another person's wellbeing matters to me even when I do not feel close to them."
"source_pool","data/question-pools/axis1-empathy-detachment.json","40","Empathy","empathy","conditional_only","conditional_only","When","When several people need help, understanding each person's hardship makes me care about their situation."
"source_pool","data/question-pools/axis1-empathy-detachment.json","41","Empathy","empathy","context_candidate","event","suffering","When suffering is described in abstract terms, I still want something to improve for those affected."
"source_pool","data/question-pools/axis1-empathy-detachment.json","42","Empathy","empathy","context_candidate","event","suffering","Knowing that people are still suffering keeps their wellbeing important to me after public attention has moved on."
"source_pool","data/question-pools/axis1-empathy-detachment.json","43","Empathy","empathy","no_lexical_cue","","","Another person's pain matters to me whether or not I feel it myself."
"source_pool","data/question-pools/axis1-empathy-detachment.json","44","Empathy","empathy","context_candidate","event","suffering","A person's suffering still matters to me when many other people also know about it."
"source_pool","data/question-pools/axis1-empathy-detachment.json","45","Empathy","empathy","conditional_only","conditional_only","When","When I understand how someone's pain could be eased, I want that relief for them."
"source_pool","data/question-pools/axis1-empathy-detachment.json","46","Empathy","empathy","conditional_only","conditional_only","When","When I think again about a hardship someone faces, I still want them to find relief."
"source_pool","data/question-pools/axis1-empathy-detachment.json","47","Empathy","empathy","context_candidate","event","suffering","Thinking about suffering that future generations may face gives me a genuine wish to prevent it."
"source_pool","data/question-pools/axis1-empathy-detachment.json","48","Empathy","empathy","no_lexical_cue","","","The more I learn about what someone is going through, the stronger my wish to help them."
"source_pool","data/question-pools/axis1-empathy-detachment.json","49","Empathy","empathy","no_lexical_cue","","","As I work through the details of another person's difficulty, I care about what the experience is like for them."
"source_pool","data/question-pools/axis1-empathy-detachment.json","50","Empathy","empathy","no_lexical_cue","","","Wanting others to suffer less is a real motivation in my life."
"source_pool","data/question-pools/axis1-empathy-detachment.json","51","Empathy","empathy","context_candidate","event","suffering","When I reason through a situation in which someone is suffering, easing their pain matters to me."
"source_pool","data/question-pools/axis1-empathy-detachment.json","52","Empathy","empathy","context_candidate","event","suffering","Others' suffering matters to me whatever mood I am in."
"source_pool","data/question-pools/axis1-empathy-detachment.json","53","Empathy","empathy","context_candidate","event","suffering","When I understand that someone has been hurt by unfair treatment, I care about the suffering it has caused them."
"source_pool","data/question-pools/axis1-empathy-detachment.json","54","Empathy","empathy","conditional_only","conditional_only","if","Understanding how a policy harms people makes me concerned for them, even if it does not affect me."
"source_pool","data/question-pools/axis1-empathy-detachment.json","55","Empathy","empathy","no_lexical_cue","","","I am concerned about what the people around me are going through."
"source_pool","data/question-pools/axis1-empathy-detachment.json","56","Empathy","empathy","context_candidate","event","suffering","As I consider evidence about someone's circumstances, the suffering involved has real weight for me."
"source_pool","data/question-pools/axis1-empathy-detachment.json","57","Empathy","empathy","context_candidate","event","suffering","When I consider people with competing needs, I care about the suffering each person is experiencing."
"source_pool","data/question-pools/axis1-empathy-detachment.json","58","Empathy","empathy","conditional_only","conditional_only","When","When I notice that I have overlooked someone's hardship, I become concerned about what they are experiencing."
"source_pool","data/question-pools/axis1-empathy-detachment.json","59","Empathy","empathy","conditional_only","conditional_only","When","When someone I love is in pain, I feel a strong wish to ease it."
"source_pool","data/question-pools/axis1-empathy-detachment.json","60","Empathy","empathy","context_candidate","relationship","stranger","A stranger's visible distress makes me want to step in."
"source_pool","data/question-pools/axis1-empathy-detachment.json","61","Empathy","empathy","no_lexical_cue","","","Hearing that someone has been badly hurt leaves me wanting to reach out to them."
"source_pool","data/question-pools/axis1-empathy-detachment.json","62","Empathy","empathy","conditional_only","conditional_only","When","When someone tells me about a painful loss, I want to comfort them."
"source_pool","data/question-pools/axis1-empathy-detachment.json","63","Empathy","empathy","context_candidate","event","suffering","It is hard for me to stop thinking about someone who is suffering."
"source_pool","data/question-pools/axis1-empathy-detachment.json","64","Empathy","empathy","context_candidate","event","suffering","Someone's suffering stays on my mind until I know they are all right."
"source_pool","data/question-pools/axis1-empathy-detachment.json","65","Empathy","empathy","conditional_only","conditional_only","When","When someone is hurting, I want their pain to end."
"source_pool","data/question-pools/axis1-empathy-detachment.json","66","Empathy","empathy","context_candidate","relationship; event","stranger; suffering","Even a stranger's serious suffering makes me want to see it relieved."
"source_pool","data/question-pools/axis1-empathy-detachment.json","67","Empathy","empathy","conditional_only","conditional_only","when","I feel a strong wish to help when someone I know is struggling."
"source_pool","data/question-pools/axis1-empathy-detachment.json","68","Empathy","empathy","context_candidate","event","suffering","Another person's serious suffering weighs on me."
"source_pool","data/question-pools/axis1-empathy-detachment.json","69","Empathy","empathy","no_lexical_cue","","","Once I know that someone is in serious pain, their wellbeing matters a great deal to me."
"source_pool","data/question-pools/axis1-empathy-detachment.json","70","Empathy","empathy","context_candidate","event","suffering","Even after hearing only a brief account of someone's suffering, I care what happens to them."
"source_pool","data/question-pools/axis1-empathy-detachment.json","71","Empathy","empathy","no_lexical_cue","","","Seeing someone I don't know in real trouble makes me care about their wellbeing."
"source_pool","data/question-pools/axis1-empathy-detachment.json","72","Empathy","empathy","context_candidate","event","suffering","When people are suffering, I want things to get better for them, whether or not I know them."
"source_pool","data/question-pools/axis1-empathy-detachment.json","73","Empathy","empathy","conditional_only","conditional_only","When; if","When someone's hardship is severe, it matters to me even if I can do nothing about it."
"source_pool","data/question-pools/axis1-empathy-detachment.json","74","Empathy","empathy","context_candidate","event","suffering","I wish I could relieve suffering I hear about, even when I have no means to."
"source_pool","data/question-pools/axis1-empathy-detachment.json","75","Empathy","empathy","context_candidate","relationship; event","close to me; suffering","The suffering of the people close to me matters a great deal to me."
"source_pool","data/question-pools/axis1-empathy-detachment.json","76","Empathy","empathy","context_candidate","event","suffering","Learning that a person is suffering makes me want to know if there is anything that would help them."
"source_pool","data/question-pools/axis1-empathy-detachment.json","77","Empathy","empathy","no_lexical_cue","","","Other people's hardships tend to matter to me."
"source_pool","data/question-pools/axis1-empathy-detachment.json","78","Empathy","empathy","conditional_only","conditional_only","When","When I hear that someone is having a hard time, I usually wish things would go better for them."
"source_pool","data/question-pools/axis1-empathy-detachment.json","79","Empathy","empathy","no_lexical_cue","","","I often find myself hoping that people I hear about who are struggling will be okay."
"source_pool","data/question-pools/axis1-empathy-detachment.json","80","Empathy","empathy","context_candidate","event","suffering","Most of the time, other people's suffering feels important to me."
"source_pool","data/question-pools/axis1-empathy-detachment.json","81","Empathy","empathy","context_candidate","event","bad news","Learning that someone has had bad news usually makes me want to reach out."
"source_pool","data/question-pools/axis1-empathy-detachment.json","82","Empathy","empathy","no_lexical_cue","","","Other people's small hardships often matter to me too."
"source_pool","data/question-pools/axis1-empathy-detachment.json","83","Empathy","empathy","no_lexical_cue","","","I am somewhat more moved by other people's hardships than most people I know."
"source_pool","data/question-pools/axis1-empathy-detachment.json","84","Empathy","empathy","context_candidate","relationship","friend","When a friend is hurting, I usually want to help."
"source_pool","data/question-pools/axis1-empathy-detachment.json","85","Empathy","empathy","context_candidate","event","suffering","A person's suffering sometimes stays with me after I have left them."
"source_pool","data/question-pools/axis1-empathy-detachment.json","86","Empathy","empathy","context_candidate","event","Suffering","Suffering among people whose lives are very different from mine still matters to me."
"source_pool","data/question-pools/axis1-empathy-detachment.json","87","Empathy","empathy","conditional_only","conditional_only","When","When I hear about a group of people in serious trouble, I usually feel some concern for them."
"source_pool","data/question-pools/axis1-empathy-detachment.json","88","Empathy","empathy","no_lexical_cue","","","Reflecting on someone's difficulties often makes me wish I could ease them."
"source_pool","data/question-pools/axis1-empathy-detachment.json","89","Empathy","empathy","context_candidate","event","suffering","When someone is suffering, I hope things turn out well for them."
"source_pool","data/question-pools/axis1-empathy-detachment.json","90","Empathy","empathy","no_lexical_cue","","","I often wish I could do something for people who are having a hard time."
"source_pool","data/question-pools/axis1-empathy-detachment.json","91","Empathy","detachment","no_lexical_cue","","","Other people's hardships tend to matter little to me."
"source_pool","data/question-pools/axis1-empathy-detachment.json","92","Empathy","detachment","conditional_only","conditional_only","When","When someone shares a painful experience, the fact of their pain carries little weight in my mind."
"source_pool","data/question-pools/axis1-empathy-detachment.json","93","Empathy","detachment","context_candidate","event","suffering","The suffering of people I don't know rarely seems important to me."
"source_pool","data/question-pools/axis1-empathy-detachment.json","94","Empathy","detachment","no_lexical_cue","","","Hearing that someone is going through a hard time rarely changes how I think about my own day."
"source_pool","data/question-pools/axis1-empathy-detachment.json","95","Empathy","detachment","no_lexical_cue","","","Someone's ongoing hardship rarely stays on my mind once I am no longer with them."
"source_pool","data/question-pools/axis1-empathy-detachment.json","96","Empathy","detachment","context_candidate","event","suffering","Learning that people are suffering somewhere else seldom makes me care what happens to them."
"source_pool","data/question-pools/axis1-empathy-detachment.json","97","Empathy","detachment","no_lexical_cue","","","Reading or hearing about people in pain usually leaves me without much concern for them."
"source_pool","data/question-pools/axis1-empathy-detachment.json","98","Empathy","detachment","conditional_only","conditional_only","When","When someone is in pain, I rarely feel a wish to make it better."
"source_pool","data/question-pools/axis1-empathy-detachment.json","99","Empathy","detachment","no_lexical_cue","","","Knowing that a person is struggling seldom makes me want to do anything about it."
"source_pool","data/question-pools/axis1-empathy-detachment.json","100","Empathy","detachment","context_candidate","event","suffering","When I understand why someone is suffering, I still rarely want their situation to change."
"source_pool","data/question-pools/axis1-empathy-detachment.json","101","Empathy","detachment","conditional_only","conditional_only","when","I seldom feel pulled to respond when someone around me is having a hard time."
"source_pool","data/question-pools/axis1-empathy-detachment.json","102","Empathy","detachment","conditional_only","conditional_only","When","When someone shares a struggle with me, I tend to treat it as information rather than as something that calls for a response."
"source_pool","data/question-pools/axis1-empathy-detachment.json","103","Empathy","detachment","no_lexical_cue","","","I rarely feel drawn to check in on people who are having a hard time."
"source_pool","data/question-pools/axis1-empathy-detachment.json","104","Empathy","detachment","context_candidate","event","difficult time","When I learn that someone I know is going through a difficult time, my first instinct is rarely to consider how I might help."
"source_pool","data/question-pools/axis1-empathy-detachment.json","105","Empathy","detachment","context_candidate","event","suffering","When I see that someone is suffering, it usually makes no difference to what I want to do next."
"source_pool","data/question-pools/axis1-empathy-detachment.json","106","Empathy","detachment","conditional_only","conditional_only","when","Even when I clearly understand another person's hardship, their wellbeing rarely becomes more important to me."
"source_pool","data/question-pools/axis1-empathy-detachment.json","107","Empathy","detachment","no_lexical_cue","","","Thinking through someone's difficulties rarely makes me care about them more."
"source_pool","data/question-pools/axis1-empathy-detachment.json","108","Empathy","detachment","context_candidate","event","suffering","Statistics or reports about people's suffering leave me with little concern for the people involved."
"source_pool","data/question-pools/axis1-empathy-detachment.json","109","Empathy","detachment","context_candidate","event","suffering","Hearing that a problem harms many people rarely makes me want their suffering reduced."
"source_pool","data/question-pools/axis1-empathy-detachment.json","110","Empathy","detachment","conditional_only","conditional_only","when","Even when someone's pain is vivid and immediate, I feel little wish to ease it."
"source_pool","data/question-pools/axis1-empathy-detachment.json","111","Empathy","detachment","conditional_only","conditional_only","When","When someone near me is visibly upset, I rarely feel any urge to comfort or help them."
"source_pool","data/question-pools/axis1-empathy-detachment.json","112","Empathy","detachment","conditional_only","conditional_only","after","A person's hardship stops mattering to me soon after I hear about it."
"source_pool","data/question-pools/axis1-empathy-detachment.json","113","Empathy","detachment","no_lexical_cue","","","Once I stop hearing about a person's troubles, I stop thinking about their wellbeing."
"source_pool","data/question-pools/axis1-empathy-detachment.json","114","Empathy","detachment","context_candidate","event","Suffering","Suffering among people outside my own circle rarely concerns me."
"source_pool","data/question-pools/axis1-empathy-detachment.json","115","Empathy","detachment","no_lexical_cue","","","I feel little concern for the wellbeing of people I will never meet."
"source_pool","data/question-pools/axis1-empathy-detachment.json","116","Empathy","detachment","context_candidate","relationship","stranger","A stranger's hardship rarely matters to me."
"source_pool","data/question-pools/axis1-empathy-detachment.json","117","Empathy","detachment","context_candidate","event","suffering","Other people's suffering is mostly their concern, not mine."
"source_pool","data/question-pools/axis1-empathy-detachment.json","118","Empathy","detachment","conditional_only","conditional_only","When","When several people need help, none of their situations weighs on me much."
"source_pool","data/question-pools/axis1-empathy-detachment.json","119","Empathy","detachment","no_lexical_cue","","","I am often less concerned about other people's troubles than the people around me are."
"source_pool","data/question-pools/axis1-empathy-detachment.json","120","Empathy","detachment","no_lexical_cue","","","Other people's pain seldom feels like something that requires a response from me."
"source_pool","data/question-pools/axis1-empathy-detachment.json","121","Empathy","detachment","conditional_only","conditional_only","When","When I see someone crying, I rarely feel any wish to help."
"source_pool","data/question-pools/axis1-empathy-detachment.json","122","Empathy","detachment","conditional_only","conditional_only","when","Even when someone I am with is clearly in distress, their pain leaves me largely unmoved."
"source_pool","data/question-pools/axis1-empathy-detachment.json","123","Empathy","detachment","context_candidate","relationship","stranger","A stranger's obvious anguish in front of me rarely makes me want to step in."
"source_pool","data/question-pools/axis1-empathy-detachment.json","124","Empathy","detachment","conditional_only","conditional_only","When","When someone tells me about something painful that happened to them, I rarely feel any pull to comfort them."
"source_pool","data/question-pools/axis1-empathy-detachment.json","125","Empathy","detachment","context_candidate","event","suffering","Being close to someone's suffering rarely makes it matter more to me."
"source_pool","data/question-pools/axis1-empathy-detachment.json","126","Empathy","detachment","no_lexical_cue","","","Someone's tears or visible distress rarely change what I want to do."
"source_pool","data/question-pools/axis1-empathy-detachment.json","127","Empathy","detachment","context_candidate","relationship","friend","When a friend is in real pain, I often feel little wish to relieve it."
"source_pool","data/question-pools/axis1-empathy-detachment.json","128","Empathy","detachment","context_candidate","event","suffering","Watching a person suffer usually stirs no wish in me to ease their suffering."
"source_pool","data/question-pools/axis1-empathy-detachment.json","129","Empathy","detachment","conditional_only","conditional_only","when","Even when I am convinced that someone is being harmed, I feel little wish to see it stop."
"source_pool","data/question-pools/axis1-empathy-detachment.json","130","Empathy","detachment","context_candidate","event","suffering","Learning that suffering could easily be prevented seldom makes me want it prevented."
"source_pool","data/question-pools/axis1-empathy-detachment.json","131","Empathy","detachment","conditional_only","conditional_only","When","When I understand that a person's pain is serious, that fact alone rarely makes me want to help."
"source_pool","data/question-pools/axis1-empathy-detachment.json","132","Empathy","detachment","context_candidate","event","suffering","I don't see other people's private suffering as something I need to be concerned about."
"source_pool","data/question-pools/axis1-empathy-detachment.json","133","Empathy","detachment","conditional_only","conditional_only","after","Even after hearing exactly what a person has endured, I feel little concern about what happens to them."
"source_pool","data/question-pools/axis1-empathy-detachment.json","134","Empathy","detachment","no_lexical_cue","","","Evidence of preventable harm to others seldom makes me want to do anything about it."
"source_pool","data/question-pools/axis1-empathy-detachment.json","135","Empathy","detachment","conditional_only","conditional_only","When","When I recognize that someone could be seriously hurt, preventing that harm rarely matters to me."
"source_pool","data/question-pools/axis1-empathy-detachment.json","136","Empathy","detachment","no_lexical_cue","","","Once a hard moment for someone has passed, I rarely give their wellbeing another thought."
"source_pool","data/question-pools/axis1-empathy-detachment.json","137","Empathy","detachment","no_lexical_cue","","","Someone's continuing hardship rarely matters to me once the news is old."
"source_pool","data/question-pools/axis1-empathy-detachment.json","138","Empathy","detachment","context_candidate","relationship","friend","A friend's ongoing struggle rarely weighs on me."
"source_pool","data/question-pools/axis1-empathy-detachment.json","139","Empathy","detachment","context_candidate","event","suffering","The suffering of people I see as outside my group rarely concerns me."
"source_pool","data/question-pools/axis1-empathy-detachment.json","140","Empathy","detachment","context_candidate","event","suffering","I feel little concern for suffering in places I have never been."
"source_pool","data/question-pools/axis1-empathy-detachment.json","141","Empathy","detachment","no_lexical_cue","","","The hardships of people I have no connection to carry little weight for me."
"source_pool","data/question-pools/axis1-empathy-detachment.json","142","Empathy","detachment","context_candidate","event","suffering","Most of the time, other people's suffering does not feel important to me."
"source_pool","data/question-pools/axis1-empathy-detachment.json","143","Empathy","detachment","conditional_only","conditional_only","when","Others' pain rarely feels like it matters to me, even when I know them well."
"source_pool","data/question-pools/axis1-empathy-detachment.json","144","Empathy","detachment","no_lexical_cue","","","I seldom find myself concerned about how another person's difficulties will turn out."
"source_pool","data/question-pools/axis1-empathy-detachment.json","145","Empathy","detachment","conditional_only","conditional_only","When","When a person I know is struggling, I rarely feel a wish to be of help."
"source_pool","data/question-pools/axis1-empathy-detachment.json","146","Empathy","detachment","conditional_only","conditional_only","when","Even when I know I could easily help someone in pain, I feel little wish to."
"source_pool","data/question-pools/axis1-empathy-detachment.json","147","Empathy","detachment","no_lexical_cue","","","Others' need for help seldom gives me a reason to want to act."
"source_pool","data/question-pools/axis1-empathy-detachment.json","148","Empathy","detachment","conditional_only","conditional_only","When","When someone asks for my support in a hard time, I usually feel little wish to give it."
"source_pool","data/question-pools/axis1-empathy-detachment.json","149","Empathy","detachment","context_candidate","event","crisis","Hearing about a crisis affecting others seldom leaves me wanting anything to change for them."
"source_pool","data/question-pools/axis1-empathy-detachment.json","150","Empathy","detachment","context_candidate","event","suffering","Wanting someone else's suffering to ease is rarely part of how I respond to their situation."
"source_pool","data/question-pools/axis1-empathy-detachment.json","151","Empathy","detachment","conditional_only","conditional_only","When","When someone I love is going through something painful, I feel little wish to ease it."
"source_pool","data/question-pools/axis1-empathy-detachment.json","152","Empathy","detachment","no_lexical_cue","","","Another person's pain rarely feels real enough to matter to me."
"source_pool","data/question-pools/axis1-empathy-detachment.json","153","Empathy","detachment","context_candidate","event","suffering","Someone's serious suffering leaves me with little concern for what happens to them."
"source_pool","data/question-pools/axis1-empathy-detachment.json","154","Empathy","detachment","context_candidate","relationship","stranger","When a stranger is in visible distress, I feel little wish to help."
"source_pool","data/question-pools/axis1-empathy-detachment.json","155","Empathy","detachment","conditional_only","conditional_only","when","I feel little concern when I hear that someone has been badly hurt."
"source_pool","data/question-pools/axis1-empathy-detachment.json","156","Empathy","detachment","context_candidate","event","suffering","However serious someone's suffering is, it seldom makes me want to do anything."
"source_pool","data/question-pools/axis1-empathy-detachment.json","157","Empathy","detachment","context_candidate","event","suffering","Even when someone I know is suffering deeply, I feel little concern about what happens to them."
"source_pool","data/question-pools/axis1-empathy-detachment.json","158","Empathy","detachment","no_lexical_cue","","","Someone else's grief rarely makes me want to comfort them."
"source_pool","data/question-pools/axis1-empathy-detachment.json","159","Empathy","detachment","no_lexical_cue","","","Hearing that someone has died or been badly hurt leaves me with little wish to reach out."
"source_pool","data/question-pools/axis1-empathy-detachment.json","160","Empathy","detachment","no_lexical_cue","","","Someone's pain stops mattering to me almost as soon as I stop seeing it."
"source_pool","data/question-pools/axis1-empathy-detachment.json","161","Empathy","detachment","context_candidate","event","suffering","I forget about other people's suffering as soon as I have something else to think about."
"source_pool","data/question-pools/axis1-empathy-detachment.json","162","Empathy","detachment","context_candidate","event","suffering","Wanting someone else's suffering to ease rarely crosses my mind."
"source_pool","data/question-pools/axis1-empathy-detachment.json","163","Empathy","detachment","conditional_only","conditional_only","after","Even after hearing the whole story of what a person has endured, I feel little wish to help them."
"source_pool","data/question-pools/axis1-empathy-detachment.json","164","Empathy","detachment","context_candidate","event","suffering","When suffering is described in vivid detail, it still carries little weight for me."
"source_pool","data/question-pools/axis1-empathy-detachment.json","165","Empathy","detachment","no_lexical_cue","","","Learning about serious harm to people far away leaves me with little wish to see it end."
"source_pool","data/question-pools/axis1-empathy-detachment.json","166","Empathy","detachment","context_candidate","relationship","coworker","When a coworker or neighbor is struggling, I feel little wish to help them."
"source_pool","data/question-pools/axis1-empathy-detachment.json","167","Empathy","detachment","context_candidate","event","suffering","Knowing that someone will keep suffering rarely bothers me."
"source_pool","data/question-pools/axis1-empathy-detachment.json","168","Empathy","detachment","context_candidate","event","suffering","Someone else's suffering rarely makes me want anything at all for them."
"source_pool","data/question-pools/axis1-empathy-detachment.json","169","Empathy","detachment","no_lexical_cue","","","Other people's problems only occasionally seem to matter to me."
"source_pool","data/question-pools/axis1-empathy-detachment.json","170","Empathy","detachment","context_candidate","event","suffering","Others' suffering sometimes fails to register as something that matters to me."
"source_pool","data/question-pools/axis1-empathy-detachment.json","171","Empathy","detachment","no_lexical_cue","","","Others' hardships sometimes leave me without much wish to help."
"source_pool","data/question-pools/axis1-empathy-detachment.json","172","Empathy","detachment","context_candidate","relationship","friend","When a friend is hurting, my wish to help is often weaker than I expect it to be."
"source_pool","data/question-pools/axis1-empathy-detachment.json","173","Empathy","detachment","context_candidate","event","suffering","Someone's suffering usually has to be severe before it matters to me."
"source_pool","data/question-pools/axis1-empathy-detachment.json","174","Empathy","detachment","context_candidate","event","bad news","Hearing that someone has had bad news usually doesn't make me want to reach out."
"source_pool","data/question-pools/axis1-empathy-detachment.json","175","Empathy","detachment","no_lexical_cue","","","Small hardships in other people's lives rarely matter to me."
"source_pool","data/question-pools/axis1-empathy-detachment.json","176","Empathy","detachment","no_lexical_cue","","","I am somewhat less moved by other people's hardships than most people I know."
"source_pool","data/question-pools/axis1-empathy-detachment.json","177","Empathy","detachment","context_candidate","event","Suffering","Suffering among people whose lives are very different from mine carries little weight for me."
"source_pool","data/question-pools/axis1-empathy-detachment.json","178","Empathy","detachment","no_lexical_cue","","","Reflecting on someone's difficulties rarely makes me feel any wish to ease them."
"source_pool","data/question-pools/axis1-empathy-detachment.json","179","Empathy","detachment","conditional_only","conditional_only","When","When I hear about a group of people in serious trouble, I seldom feel any concern for them."
"source_pool","data/question-pools/axis1-empathy-detachment.json","180","Empathy","detachment","context_candidate","event","suffering","A person's suffering rarely changes what I hope will happen for them."
"source_pool","data/question-pools/axis2-self-orientation.json","1","Self-Orientation","altruism","conditional_only","conditional_only","When","When I have extra money, my first thought is who else could use it."
"source_pool","data/question-pools/axis2-self-orientation.json","2","Self-Orientation","altruism","no_lexical_cue","","","I tend to craft my daily schedule around what the people in my life need from me."
"source_pool","data/question-pools/axis2-self-orientation.json","3","Self-Orientation","altruism","no_lexical_cue","","","I would spend my sabbatical working on behalf of a community project rather than resting."
