"baseline_commit","source_row_1_based","pole_direction","affective_tag","cognitive_tag","wording_score","question_sha256"
"4db0f6979b61a6ccaade787cf93c75f8b57cd270","75","empathy","true","false","2.890","ed9a6d28f334b819ab094cab2e5af9ad8a8ee36eaedc1e5f816b6fcd2dbb817e"
"4db0f6979b61a6ccaade787cf93c75f8b57cd270","77","empathy","true","false","2.835","0d9c0c80fa0efc325612a43d6bc8af2ede0d9e73d65bd2584e66170b203ef4a9"
"4db0f6979b61a6ccaade787cf93c75f8b57cd270","79","empathy","false","true","3.690","a9fec43a1ea67eb2b7117bf63e6bdd7f13146b20834c10f204a9205b3cb8cab0"
"4db0f6979b61a6ccaade787cf93c75f8b57cd270","81","empathy","true","false","2.835","2fd49a39f6b86ea6a869090ef4beb0066dd80403fb84f4f470e3cd33128cd23b"
"4db0f6979b61a6ccaade787cf93c75f8b57cd270","82","detachment","true","false","2.560","808b8118289e93c3ba6f051c640ee4d55d802e22cad014cec7150ab28cd777af"
"4db0f6979b61a6ccaade787cf93c75f8b57cd270","85","empathy","true","false","2.890","7d080e43dc60706cf784583af050c039f45141538796d777a61f0ec719b8d75e"
"4db0f6979b61a6ccaade787cf93c75f8b57cd270","86","detachment","true","true","2.535","2b76a22aa5315e3e31ec93db6ff5e5bf7cea76a36ad77077dceca78391f0552e"
"4db0f6979b61a6ccaade787cf93c75f8b57cd270","87","empathy","true","false","2.890","bbfd2f2682a35c0b74d15e9d3668aaab932473ab366afc640a587d4907dc8259"
"4db0f6979b61a6ccaade787cf93c75f8b57cd270","88","detachment","true","false","2.780","c5981fc624cc4f08b37817cddbb5677e4e3e129531548cb5520509cb1d99d962"
"4db0f6979b61a6ccaade787cf93c75f8b57cd270","92","detachment","true","true","2.725","e571f7b4b891771136d00b1c53d04c5b4b09d712688b36eaf6c0541637cf88a8"
"4db0f6979b61a6ccaade787cf93c75f8b57cd270","95","empathy","true","false","2.235","0f9361f388f302ab2ac0e76c92d2191acc139591ba60c3ec4186a59c0f2b5236"
"4db0f6979b61a6ccaade787cf93c75f8b57cd270","96","detachment","true","false","2.780","865cea1b3a5f478243c6a06684b487dcf3be474534fdf7967071523b1780fcc7"
"4db0f6979b61a6ccaade787cf93c75f8b57cd270","97","empathy","true","false","3.745","d70da8da398375a4d86de36849bfebb6fc3534dbcb2d4e94863e2c088fe573b7"
"4db0f6979b61a6ccaade787cf93c75f8b57cd270","98","detachment","false","true","2.425","4007b82e1b00285fc45f44a327805a34437afd3879d07d908146c149ef9b1b04"
"4db0f6979b61a6ccaade787cf93c75f8b57cd270","100","detachment","true","false","2.890","cd72f3c8c2a23980780a506f94b590ea17197b0a7197c3cc93155384600ed3af"
"4db0f6979b61a6ccaade787cf93c75f8b57cd270","102","detachment","true","true","3.000","596e49f3b13742f6f0edc58a62381673e1cff9db2c4b652c7b20a5bb7b91a872"
"4db0f6979b61a6ccaade787cf93c75f8b57cd270","103","empathy","true","false","3.435","5c24cbf2910e789676c70518dedcc3729149d9fb4ea1fecfe17f5eae6873546d"
"4db0f6979b61a6ccaade787cf93c75f8b57cd270","105","empathy","true","false","3.035","5608601aaaaef5391d5a8dbe2842297a3339182a55cc1733f827e52808950efe"
"4db0f6979b61a6ccaade787cf93c75f8b57cd270","106","detachment","true","false","2.725","eae125ed96a49830980cb8ef47f5d47b04c09de59f71db6c4b519a2ff3a43764"
"4db0f6979b61a6ccaade787cf93c75f8b57cd270","113","empathy","false","true","1.990","cf0f2465b8892615f471f08a1251fa9bc31eadfb5110f0e50edd2d23df275de7"
"4db0f6979b61a6ccaade787cf93c75f8b57cd270","115","empathy","true","false","2.945","f13084fc7404152cc9ca20ac91ddff5d39ca9d8168d2da4e404b07968562c058"
"4db0f6979b61a6ccaade787cf93c75f8b57cd270","116","detachment","true","false","2.725","b55511078a5c9e01da8cb0dd162b5b14047b8f1223bb9a6fb2174d1010f6d1a7"
"4db0f6979b61a6ccaade787cf93c75f8b57cd270","119","empathy","false","true","4.345","a19e17df44a48501bd950dba44d8b807a25fd038c5e7ee31aa7703364c7be0f0"
"4db0f6979b61a6ccaade787cf93c75f8b57cd270","121","empathy","false","true","1.935","683f91bf59dd41478755367787165f82cc7a90b7bba538fc2f2bf427ebae60f3"
"4db0f6979b61a6ccaade787cf93c75f8b57cd270","122","detachment","false","true","2.945","366878118bd0f128cb21d1c8eda42cebcd07ec073775ae65b8eace6c677fb2b2"
"4db0f6979b61a6ccaade787cf93c75f8b57cd270","123","empathy","true","false","2.890","4ec87bcac4ccd1ad95d3aac329a4dd24a571608c9464f53a16b59f2a99a56e3c"
"4db0f6979b61a6ccaade787cf93c75f8b57cd270","126","detachment","true","false","2.890","73e9d20bdc15b7237dd960b49358040188f005481a55dea1503793341e743423"
"4db0f6979b61a6ccaade787cf93c75f8b57cd270","127","empathy","true","false","2.290","fe096de68c71bb547893d928b6e5634f30d783c06cc7743dbe8a1d8eeb3d49a8"
"4db0f6979b61a6ccaade787cf93c75f8b57cd270","129","empathy","true","false","3.200","920ab8d70d97778395a988d768be1a93f5a4b69e628f266f1ab58d7dd5613bd3"
"4db0f6979b61a6ccaade787cf93c75f8b57cd270","130","detachment","false","true","2.945","ed905a36f47c946ae675d96908011d494c5b4a549054a069be2e533b052721a2"
"4db0f6979b61a6ccaade787cf93c75f8b57cd270","132","detachment","true","false","2.780","024d271ea684356de23ddd54cc118aacbcb0db432469030e5c35e99f12c0e191"
"4db0f6979b61a6ccaade787cf93c75f8b57cd270","133","empathy","true","false","2.835","7a00d92749b7bd046ea7bfbc748876165c293ebcbbd4382106f247a0b127cbf4"
"4db0f6979b61a6ccaade787cf93c75f8b57cd270","135","empathy","false","true","3.600","3cc76ddfa2a58a54720c08ac3932aa0f124b3d3d0f873caa6e7a0e3fce88978d"
"4db0f6979b61a6ccaade787cf93c75f8b57cd270","137","empathy","true","false","2.290","089d9d21b5ad9621598fbba1adc507db05830843cfec64c4d785d76a90cce82e"
"4db0f6979b61a6ccaade787cf93c75f8b57cd270","138","detachment","true","false","2.835","61c730e62464f223f9287ab96c9ddd4b9359fda5b2ac15a6e0d91d60bb199508"
"4db0f6979b61a6ccaade787cf93c75f8b57cd270","139","empathy","false","true","1.335","f9c1a0c58c22f5f3f5d01c7a5a5387704ec4ab8786e672296ccafbf6078a2ab9"
"4db0f6979b61a6ccaade787cf93c75f8b57cd270","141","empathy","true","false","2.345","5f3bb82234e9959e865d2730e106e514b57b682ea59470b86186c8cceefa3964"
"4db0f6979b61a6ccaade787cf93c75f8b57cd270","142","detachment","true","true","2.835","35a7330756ae2da583f36625136da9b17b9696307c913bf4c51d6dddc32d42f5"
"4db0f6979b61a6ccaade787cf93c75f8b57cd270","143","empathy","false","true","1.090","18e3d1ba98d2d0887f63670fdc516cbead9936928d609d08728c9c2b96618594"
"4db0f6979b61a6ccaade787cf93c75f8b57cd270","145","empathy","true","false","2.690","745963d197c9d7453efdca503e616fee8d8115b327b332d9ce22430ef205d536"
"4db0f6979b61a6ccaade787cf93c75f8b57cd270","148","detachment","true","false","2.835","df349857b25c78f835740a300db7af81ec08181936c0faea1ad69173e0f0ebd2"
"4db0f6979b61a6ccaade787cf93c75f8b57cd270","151","empathy","true","true","3.545","164536fe71eb6404e41c3eb618529345ec3b224facf19ac962f9e604727e99e1"
"4db0f6979b61a6ccaade787cf93c75f8b57cd270","154","detachment","true","true","2.725","5a076b6cb4a7ac6c5ce6a9946fb8c9f6087cba4b022cc9de5ce3f0c5d2774726"
"4db0f6979b61a6ccaade787cf93c75f8b57cd270","156","detachment","true","true","2.045","d5aa382bd63123156c09e8a9c6a759143fd24dcf4a7d97f3c33c25a2e0c2f50d"
"4db0f6979b61a6ccaade787cf93c75f8b57cd270","157","empathy","true","false","2.645","cd30b21bd3e4630451c6ed7c09b436adbe6d1a8e2c48e59e603f769ee5cdb1d2"
"4db0f6979b61a6ccaade787cf93c75f8b57cd270","159","empathy","false","true","2.780","6fa43bf2514cf12231c3f3b0ba93d6ebf93f3554a82255b8976bd2cebba973ac"
"4db0f6979b61a6ccaade787cf93c75f8b57cd270","160","detachment","true","false","2.890","7759e86096b792d00f189583694b8651c5e8333b7911aa48cd7ba5ceee38b282"
"4db0f6979b61a6ccaade787cf93c75f8b57cd270","163","empathy","true","true","1.990","6315c918b32993b74bc43c57f6357f9deaf65a554d123c6f1aa5e7c9ac1d851b"
"4db0f6979b61a6ccaade787cf93c75f8b57cd270","164","detachment","true","false","2.835","f689a188259fe8cf13f2b5bd9e07c211d530950222893246c0985b93130bf519"
"4db0f6979b61a6ccaade787cf93c75f8b57cd270","165","empathy","true","true","1.935","03327889e0a618296c3269f1336fe19e34cc4e7cafe7eada492b3b6a76febcd1"
"4db0f6979b61a6ccaade787cf93c75f8b57cd270","169","empathy","true","false","3.080","66e3b122ef58552033bbf9bc96b6ca0d5175317d5817d8ffaf9c850b6e76db4b"
"4db0f6979b61a6ccaade787cf93c75f8b57cd270","173","empathy","true","false","2.125","01f0ab4bc6eb834b12808a4e498e9aab80f67220047bff79bdad6642f0a67c4d"
"4db0f6979b61a6ccaade787cf93c75f8b57cd270","174","detachment","true","false","2.835","f17d5a7880d272c2f8c602f39643014ac0c23ef200001cab6391eaa256a664c1"
"4db0f6979b61a6ccaade787cf93c75f8b57cd270","176","detachment","true","true","2.835","b4fff152189205c7289547cfa124c8a1ec9dd27759460672b9cb7c9d068d7807"
"4db0f6979b61a6ccaade787cf93c75f8b57cd270","177","empathy","true","false","2.345","4bb036f50d1bf0d0dca6a46536284acc2be012bff4ecbd267598616b8379a04b"
"4db0f6979b61a6ccaade787cf93c75f8b57cd270","182","detachment","true","false","3.000","8818aafe7feac46bd21ca395ff6e2e6129c390fc1f7b9d1612bd6f380f71ac23"
"4db0f6979b61a6ccaade787cf93c75f8b57cd270","183","empathy","true","false","2.945","b598fa4e57836ac1e9e207e6086dcf3eecebc877ca97dba05a3ee87fbe45a5a0"
"4db0f6979b61a6ccaade787cf93c75f8b57cd270","185","empathy","true","true","1.390","37532bc50f049350318248f6803266fcd0ad30ae61dbef2cdc6900e40cd3bdcb"
"4db0f6979b61a6ccaade787cf93c75f8b57cd270","187","empathy","true","false","3.035","7b951ec276b46b5377619ab27c6d71c5beed10f1cf649d3950d7d08b7cc3d02d"
"4db0f6979b61a6ccaade787cf93c75f8b57cd270","188","detachment","true","false","2.945","c8b5db574e8a02da967d7e4ee1e91737accd447bb0316eae758d18f1b4788cf9"
"4db0f6979b61a6ccaade787cf93c75f8b57cd270","190","detachment","false","true","2.890","88ffc27f989bb5381ddb6e79d8a7142ffead4ffbeb4c5151dcca622c9063c03c"
"4db0f6979b61a6ccaade787cf93c75f8b57cd270","191","empathy","true","true","2.945","366ea575f3fd3e79c7c808131b44f8fa679c92bae7606f91a40ea48a35cfe04d"
"4db0f6979b61a6ccaade787cf93c75f8b57cd270","192","detachment","true","false","3.000","6b04665042a0bc550e04e9475fbb68d0926d89b0a4f797c5165e3206a2a7fe0e"
"4db0f6979b61a6ccaade787cf93c75f8b57cd270","195","empathy","true","false","2.290","d163b106b7a5957d3ac0d3de085c4ca3a0b7abb15befbab64913c71424c80f7d"
"4db0f6979b61a6ccaade787cf93c75f8b57cd270","197","empathy","true","true","1.360","770392b869cc1ff55271564e94375cf477f94becea997ad7135359f1d53ad974"
"4db0f6979b61a6ccaade787cf93c75f8b57cd270","198","detachment","true","false","2.835","81dded71473c2667966135ae95ecb3c881783881009a1cd905c10357ace909b9"
"4db0f6979b61a6ccaade787cf93c75f8b57cd270","199","empathy","true","false","2.345","0d3f1d4cb7d7350ad902eb44e6c4793f2118bbe7b239eee3a1b1f830da97e4b0"
"4db0f6979b61a6ccaade787cf93c75f8b57cd270","205","empathy","true","false","3.000","a99a551a2c29a9604df8692db021a2a2b92348fca26d475133dbea74f570e4cb"
"4db0f6979b61a6ccaade787cf93c75f8b57cd270","206","detachment","true","true","2.890","2bf918b534ba8c4b3f64ea7a370a9fd5f79f9c95ce5348cede09e5f42015a9d9"
"4db0f6979b61a6ccaade787cf93c75f8b57cd270","208","detachment","true","true","2.835","55a27bd2e13ef652b37edc2769311be517eac1fb723c21396c6e71029e1a1f90"
"4db0f6979b61a6ccaade787cf93c75f8b57cd270","209","empathy","true","false","2.345","336d2f64c849c7d6c5c6ad5c91a9256ad661f6e083454134bedf24c1efbc4913"
"4db0f6979b61a6ccaade787cf93c75f8b57cd270","212","detachment","true","false","2.945","2de364b0c50e9dd0eaed5208440592f6e54599225e2556b73c5043f1536fe1bf"
"4db0f6979b61a6ccaade787cf93c75f8b57cd270","215","empathy","true","true","1.545","42434d1dd9b90209c19d4c3d7456b8c562c031265309341629da80eac8ee6624"
"4db0f6979b61a6ccaade787cf93c75f8b57cd270","217","empathy","true","true","2.690","6d7344f16785130c68e7e0b01549f5167ecfdcb36dbf3391c24fa443687a7973"
"4db0f6979b61a6ccaade787cf93c75f8b57cd270","220","detachment","true","false","2.945","c5e169f92834dad36f7ac8081a252e0d11465e3ced78a2b617632ad171f96216"
"4db0f6979b61a6ccaade787cf93c75f8b57cd270","223","empathy","true","false","2.890","e7a1a1df3f1b079092ff6bd5ba5ea1e4a66ebecb6deb9434af54b2ff086762ac"
"4db0f6979b61a6ccaade787cf93c75f8b57cd270","226","detachment","true","false","2.945","ac8f7d3c56a0274dc3ca5f730b999c3f2f95998dd3731f0078617976c0e1d268"
"4db0f6979b61a6ccaade787cf93c75f8b57cd270","229","empathy","true","false","2.890","7acb6d04b37b05728d955d52a12ba97c56a36b85cdebe31dd213eb9b8a98bb4d"
"4db0f6979b61a6ccaade787cf93c75f8b57cd270","234","detachment","true","true","2.890","6aeeadbab2df6b15e88d55813689d575e8c6bf74d3d6e5f0c9083d032de949b0"
"4db0f6979b61a6ccaade787cf93c75f8b57cd270","236","detachment","true","false","2.945","5ef45daee8932c7fa94931c796ef9d45f1c6c78313e97aa91f4405c134e13f10"
"4db0f6979b61a6ccaade787cf93c75f8b57cd270","241","empathy","true","false","2.945","65313a8cf49e045131a144cecd446d0c2c5c9dddaf3f1f13d635155d23383cdc"
"4db0f6979b61a6ccaade787cf93c75f8b57cd270","244","detachment","true","true","2.945","dacb9d4177ba8bbdc118207c04b4d007abe8f545e3c573d5be55805c425564fe"
"4db0f6979b61a6ccaade787cf93c75f8b57cd270","250","detachment","true","false","3.000","676228ce409b1f8d56145bf534ab97c95f2b2c7e7481f2ca80abe722927a4623"
"4db0f6979b61a6ccaade787cf93c75f8b57cd270","253","empathy","true","true","2.890","6193e20cd6e9961cf6b44077dc8c4e99d0fd5303bfc89cc2e7753352398e8d9b"
"4db0f6979b61a6ccaade787cf93c75f8b57cd270","256","detachment","false","true","2.835","2abd46399ce641dbe834f0141985f0f033ff9b2499762e1374cccd7e71023bbd"
"4db0f6979b61a6ccaade787cf93c75f8b57cd270","257","empathy","false","true","1.935","18179dc2fca5c9f947434b2c56c37c7c4e8a1bfb4fb0846cb82e8536f06d67b6"
"4db0f6979b61a6ccaade787cf93c75f8b57cd270","259","empathy","true","false","2.890","faece3a267d38a12af6f51805a3389ae5c2383830cdca4f2b30c809003d6fc6a"
"4db0f6979b61a6ccaade787cf93c75f8b57cd270","262","detachment","true","true","2.835","f70fd97cf9cfd5d7cd945581e8fcde6b44aecaa45a6d0206a0536dd90b2ca262"
"4db0f6979b61a6ccaade787cf93c75f8b57cd270","265","empathy","true","false","2.235","75eb0ffd273996a242cff4ccca32bb4e7d6ca48c6d61c92d7238fcd72a3b3a34"
"4db0f6979b61a6ccaade787cf93c75f8b57cd270","267","empathy","true","true","1.445","81fac3e2400ffde5709aca448295e2b5648faec5b2f8552667b4a684bebc287e"
"4db0f6979b61a6ccaade787cf93c75f8b57cd270","272","detachment","true","false","2.945","679443314c8d74800fe35f7347dc287f497ebf7562f1cac26fb1457c991a0c7b"
"4db0f6979b61a6ccaade787cf93c75f8b57cd270","273","empathy","true","false","2.780","bfb72d2b54a4e0ca1cff66f14242b3051c2ebed6de719bc309293f2a20d8933d"
"4db0f6979b61a6ccaade787cf93c75f8b57cd270","280","detachment","true","false","2.835","c73e32301b2e449dcbde0ed5640087c87720559dac90a8395442d3fa312ce617"
"4db0f6979b61a6ccaade787cf93c75f8b57cd270","286","detachment","true","true","3.545","95fedf8948d1c3faf88a537ac7f2e792e7e34a0a1842dd0872c268dc12ac6577"
"4db0f6979b61a6ccaade787cf93c75f8b57cd270","287","empathy","true","false","2.235","43abe068f58b13ac267d9245603411fea84ed62ce6dd38afbbcd7345155df938"
"4db0f6979b61a6ccaade787cf93c75f8b57cd270","288","detachment","false","true","1.935","170b56c4148703f64fba887d9d208ffcc7ac6337d89ac58d4030801af9f92c62"
"4db0f6979b61a6ccaade787cf93c75f8b57cd270","290","detachment","false","true","2.045","d11d7983383f47f273d6746900035bb0ad0e26d7de995cfaff2b1e3469c2bb05"
"4db0f6979b61a6ccaade787cf93c75f8b57cd270","292","detachment","true","true","2.890","c9ea568e7b1a245cfc05212dd9acf1bd246f5de5f828e507fd39812535b8a1ca"
"4db0f6979b61a6ccaade787cf93c75f8b57cd270","298","detachment","false","true","2.725","52e9c0ace99eeee047d445ce49ba82fa89b6a2e1d03a402fcf22d9e5096b1675"
"4db0f6979b61a6ccaade787cf93c75f8b57cd270","299","empathy","true","true","0.980","1bbdf5766f2a6f5d060b008b0e1d3ffafe6019ef6b7aac81841fad36ec690884"
"4db0f6979b61a6ccaade787cf93c75f8b57cd270","301","empathy","true","true","2.345","c28c7d6243fd7151ad5257f76eda46b7b6cf235086a0cc04544c00e5e1e29403"
"4db0f6979b61a6ccaade787cf93c75f8b57cd270","304","detachment","true","false","2.890","88bb3904ac56715bf9c5a5ad3b0dae4b291b49004b62f534086513f721d521b7"
"4db0f6979b61a6ccaade787cf93c75f8b57cd270","310","detachment","true","true","2.835","b326ecaae8bf3b567cad24d14e7569eee02804497f76c282d1088281226a1723"
"4db0f6979b61a6ccaade787cf93c75f8b57cd270","313","empathy","true","true","2.400","49a1a0398f8adb65ad6b8a0b1870cb06f58eef974e14abe506da313d2b445905"
"4db0f6979b61a6ccaade787cf93c75f8b57cd270","319","empathy","true","true","2.835","c823caf9f420c52456344f2c5a5885655f5c7401ed865f838bdca3ba7f199d6b"
"4db0f6979b61a6ccaade787cf93c75f8b57cd270","322","detachment","true","true","3.000","c09a90f3081e2581ba24a94011ac932b6ff636b3f816db68a5e19e59f35d6ff7"
"4db0f6979b61a6ccaade787cf93c75f8b57cd270","325","empathy","true","true","2.345","059544998475b9f140a82fda92695950ff9a04d3d619c46661c9ac61e5331b37"
"4db0f6979b61a6ccaade787cf93c75f8b57cd270","331","empathy","true","false","2.890","9d31d44f7bb48a87f961152ec43394582eaf7e43640c7aff1a3647aeb3866354"
"4db0f6979b61a6ccaade787cf93c75f8b57cd270","332","detachment","true","true","2.700","c56dd3830c24e55957ba69b2a0ffdb39949ebb27d5868f42619584f19dff8558"
"4db0f6979b61a6ccaade787cf93c75f8b57cd270","337","empathy","true","true","2.345","f8f4354c7a54ca3a454fd05834176419edb585dcfb0da87043f6cbeb32497e89"
