"axis","pole_direction","pole_label","strength","source","question_text","source_pool_file"
"Social Attunement","hyper-attuned","Hyper-Attuned","moderate","baseline row 150","I am attuned to the way social norms shift from one context to another within the same group.","axis3-social-attunement.json"
"Social Attunement","hyper-attuned","Hyper-Attuned","moderate","baseline row 133","I sense when the real decision-maker in a meeting is not the person with the highest title.","axis3-social-attunement.json"
"Social Attunement","hyper-attuned","Hyper-Attuned","moderate","baseline row 308","I notice when someone matches the volume of the loudest person in the room to assert themselves.","axis3-social-attunement.json"
"Social Attunement","hyper-attuned","Hyper-Attuned","moderate","baseline row 328","I detect when someone answers a different question than the one that was asked to steer the conversation.","axis3-social-attunement.json"
"Social Attunement","hyper-attuned","Hyper-Attuned","moderate","baseline row 361","I notice when someone glances at the clock or door during a conversation, signaling they have mentally left.","axis3-social-attunement.json"
"Social Attunement","hyper-attuned","Hyper-Attuned","moderate","baseline row 120","I can tell when someone is interested in a conversation topic versus enduring it out of courtesy.","axis3-social-attunement.json"
"Social Attunement","hyper-attuned","Hyper-Attuned","moderate","baseline row 357","I detect when a friend group has a designated peacekeeper who steps in at predictable moments.","axis3-social-attunement.json"
"Social Attunement","hyper-attuned","Hyper-Attuned","moderate","baseline row 362","I sense when a group is tacitly agreeing to lower the emotional register of a conversation to keep things safe.","axis3-social-attunement.json"
"Social Attunement","hyper-attuned","Hyper-Attuned","moderate","baseline row 339","I sense when a team member is withdrawing their investment in a project through subtle disengagement.","axis3-social-attunement.json"
"Social Attunement","hyper-attuned","Hyper-Attuned","moderate","baseline row 325","I sense when the energy of a room drops the moment a particular person starts speaking.","axis3-social-attunement.json"
"Social Attunement","hyper-attuned","Hyper-Attuned","moderate","baseline row 124","I sense the social temperature of an email based on word choice, punctuation, and formatting.","axis3-social-attunement.json"
"Social Attunement","hyper-attuned","Hyper-Attuned","moderate","baseline row 97","I find myself noticing the cadence and rhythm of a conversation, not just the words.","axis3-social-attunement.json"
"Social Attunement","hyper-attuned","Hyper-Attuned","moderate","baseline row 355","I notice when someone adopts a casual posture to deliberately lower the perceived stakes of a conversation.","axis3-social-attunement.json"
"Social Attunement","hyper-attuned","Hyper-Attuned","moderate","baseline row 96","I sense when a group has collectively decided on something before any formal vote or discussion.","axis3-social-attunement.json"
"Social Attunement","hyper-attuned","Hyper-Attuned","moderate","baseline row 341","I detect when someone is watching a conversation from the periphery with more interest than they are showing.","axis3-social-attunement.json"
"Social Attunement","hyper-attuned","Hyper-Attuned","moderate","baseline row 312","I can tell when two people have had a private conversation before a group meeting based on how they interact.","axis3-social-attunement.json"
"Social Attunement","hyper-attuned","Hyper-Attuned","moderate","baseline row 130","I notice when an email is bcc'd to someone based on the overly formal tone.","axis3-social-attunement.json"
"Social Attunement","hyper-attuned","Hyper-Attuned","moderate","baseline row 363","I detect when someone emphasizes a particular word to send a message that only certain listeners will catch.","axis3-social-attunement.json"
"Social Attunement","hyper-attuned","Hyper-Attuned","moderate","baseline row 309","I pick up on the difference between someone who is quiet by nature and someone who has been silenced by the group.","axis3-social-attunement.json"
"Social Attunement","hyper-attuned","Hyper-Attuned","moderate","baseline row 317","I notice when someone repeats a phrase another person used earlier to build rapport or to mock them.","axis3-social-attunement.json"
"Social Attunement","hyper-attuned","Hyper-Attuned","moderate","baseline row 332","I notice when someone speeds up their speech to get through a point before they can be interrupted.","axis3-social-attunement.json"
"Social Attunement","hyper-attuned","Hyper-Attuned","moderate","baseline row 351","I can tell when someone volunteers information to create an impression of transparency while still hiding the important parts.","axis3-social-attunement.json"
"Social Attunement","hyper-attuned","Hyper-Attuned","moderate","baseline row 329","I notice the way certain people in a group look to one specific person before reacting.","axis3-social-attunement.json"
"Social Attunement","hyper-attuned","Hyper-Attuned","moderate","baseline row 334","I notice when a person brings up old information at a strategic moment to shift the dynamics of a conversation.","axis3-social-attunement.json"
"Social Attunement","hyper-attuned","Hyper-Attuned","moderate","baseline row 338","I can tell when a couple is mid-argument even though they are being perfectly civil in public.","axis3-social-attunement.json"
"Social Attunement","hyper-attuned","Hyper-Attuned","moderate","baseline row 335","I sense when someone is listening with the intent to find a weakness in what is being said.","axis3-social-attunement.json"
"Social Attunement","hyper-attuned","Hyper-Attuned","moderate","baseline row 304","I detect when someone uses a nickname versus a full name to signal the current state of a relationship.","axis3-social-attunement.json"
"Social Attunement","hyper-attuned","Hyper-Attuned","moderate","baseline row 323","I notice when a person touches their face or neck during a conversation as a self-soothing gesture.","axis3-social-attunement.json"
"Social Attunement","hyper-attuned","Hyper-Attuned","moderate","baseline row 307","I sense when a person is choosing to sit in a specific seat because of who is already sitting where.","axis3-social-attunement.json"
"Social Attunement","hyper-attuned","Hyper-Attuned","strong","baseline row 385","I detect when a group member's contribution is being quietly dismissed by the way others respond to it.","axis3-social-attunement.json"
"Social Attunement","hyper-attuned","Hyper-Attuned","strong","baseline row 443","I notice when someone volunteers to leave a room to give others privacy they did not explicitly request.","axis3-social-attunement.json"
"Social Attunement","hyper-attuned","Hyper-Attuned","strong","baseline row 100","I am highly aware of who initiates conversation and who waits to be approached in social settings.","axis3-social-attunement.json"
"Social Attunement","hyper-attuned","Hyper-Attuned","strong","baseline row 365","I pick up on when someone deliberately mentions a deadline or constraint to create urgency and shift the power balance.","axis3-social-attunement.json"
"Social Attunement","hyper-attuned","Hyper-Attuned","strong","baseline row 410","I notice when two people have developed private shorthand or inside references that exclude others in the group.","axis3-social-attunement.json"
"Social Attunement","hyper-attuned","Hyper-Attuned","strong","baseline row 394","I can tell when someone is keeping a conversation going longer than natural because they are avoiding being alone.","axis3-social-attunement.json"
"Social Attunement","hyper-attuned","Hyper-Attuned","strong","baseline row 399","I sense when a shared meal or coffee is actually a pretext for a conversation someone needs to have.","axis3-social-attunement.json"
"Social Attunement","hyper-attuned","Hyper-Attuned","strong","baseline row 422","I notice when a person clenches or unclenches their hands in rhythm with the emotional intensity of a conversation.","axis3-social-attunement.json"
"Social Attunement","hyper-attuned","Hyper-Attuned","strong","baseline row 447","I sense the difference between a group that is comfortable with each other and a group that is performing comfort.","axis3-social-attunement.json"
"Social Attunement","hyper-attuned","Hyper-Attuned","strong","baseline row 392","I notice when someone's reply to a group message is really only intended for one person in the thread.","axis3-social-attunement.json"
"Social Attunement","hyper-attuned","Hyper-Attuned","strong","baseline row 449","I notice when a conversation partner's pupils dilate or contract in response to what is being discussed.","axis3-social-attunement.json"
"Social Attunement","hyper-attuned","Hyper-Attuned","strong","baseline row 144","I detect the emotional residue in a room where something intense just happened.","axis3-social-attunement.json"
"Social Attunement","hyper-attuned","Hyper-Attuned","strong","baseline row 434","I notice when a group instinctively leaves a chair empty next to someone they find socially difficult.","axis3-social-attunement.json"
"Social Attunement","hyper-attuned","Hyper-Attuned","strong","baseline row 406","I can tell when a person adjusts their level of formality mid-conversation in response to a social cue they received.","axis3-social-attunement.json"
"Social Attunement","hyper-attuned","Hyper-Attuned","strong","baseline row 370","I notice when the pitch of a room changes because one dominant personality entered or left.","axis3-social-attunement.json"
"Social Attunement","hyper-attuned","Hyper-Attuned","strong","baseline row 387","I sense when a conversation partner is mirroring my energy not out of genuine rapport but as a social technique.","axis3-social-attunement.json"
"Social Attunement","hyper-attuned","Hyper-Attuned","strong","baseline row 400","I can feel when a social gathering has an invisible guest list that determines who was and was not expected.","axis3-social-attunement.json"
"Social Attunement","hyper-attuned","Hyper-Attuned","strong","baseline row 442","I can tell when two people in a room are aware of each other even when they are not interacting.","axis3-social-attunement.json"
"Social Attunement","hyper-attuned","Hyper-Attuned","strong","baseline row 371","I pick up on when a person lingers after a group disperses because they want a private word with someone specific.","axis3-social-attunement.json"
"Social Attunement","hyper-attuned","Hyper-Attuned","strong","baseline row 378","I sense when an invitation was extended to one person but worded to include the group so it would not seem exclusive.","axis3-social-attunement.json"
"Social Attunement","hyper-attuned","Hyper-Attuned","strong","baseline row 405","I sense when someone is being conspicuously silent to make their absence from the conversation felt.","axis3-social-attunement.json"
"Social Attunement","hyper-attuned","Hyper-Attuned","strong","baseline row 419","I notice when a group conversation has an unacknowledged moderator who is guiding the flow without being explicit about it.","axis3-social-attunement.json"
"Social Attunement","hyper-attuned","Hyper-Attuned","strong","baseline row 431","I notice the way people edit their stories in real time based on the reactions they are getting.","axis3-social-attunement.json"
"Social Attunement","hyper-attuned","Hyper-Attuned","strong","baseline row 369","I detect when someone uses vague language like 'some people think' to express their own opinion without owning it.","axis3-social-attunement.json"
"Social Attunement","hyper-attuned","Hyper-Attuned","strong","baseline row 366","I can tell when someone is smiling with their mouth but not with the muscles around their eyes.","axis3-social-attunement.json"
"Social Attunement","hyper-attuned","Hyper-Attuned","strong","baseline row 430","I can tell when a conversation's real audience is not the person being spoken to but someone who is overhearing.","axis3-social-attunement.json"
"Social Attunement","hyper-attuned","Hyper-Attuned","strong","baseline row 380","I notice the micro-adjustments people make to their clothing or hair when someone they want to impress is nearby.","axis3-social-attunement.json"
"Social Attunement","hyper-attuned","Hyper-Attuned","strong","baseline row 373","I notice when a person arranges their belongings on a table to claim space or establish boundaries.","axis3-social-attunement.json"
"Social Attunement","hyper-attuned","Hyper-Attuned","strong","baseline row 391","I detect when someone positions themselves physically between two people to mediate or interrupt a connection.","axis3-social-attunement.json"
"Social Attunement","hyper-attuned","Hyper-Attuned","strong","baseline row 417","I sense the unspoken ranking of whose time is considered most valuable in a professional setting.","axis3-social-attunement.json"
"Social Attunement","hypo-attuned","Hypo-Attuned","mild","baseline row 277","I often do not realize that a conversation had multiple layers until someone explains it to me afterward.","axis3-social-attunement.json"
"Social Attunement","hypo-attuned","Hypo-Attuned","mild","baseline row 509","I tend to be unaware of the subtle ways people express loyalty to each other in group settings.","axis3-social-attunement.json"
"Social Attunement","hypo-attuned","Hypo-Attuned","mild","baseline row 226","I focus on the explicit agenda of a meeting rather than the interpersonal dynamics.","axis3-social-attunement.json"
"Social Attunement","hypo-attuned","Hypo-Attuned","mild","baseline row 281","I am usually more aware of the logical flow of a conversation than its emotional currents.","axis3-social-attunement.json"
"Social Attunement","hypo-attuned","Hypo-Attuned","mild","baseline row 565","I tend to treat silence in a conversation as simply a pause rather than as communication.","axis3-social-attunement.json"
"Social Attunement","hypo-attuned","Hypo-Attuned","mild","baseline row 453","I generally do not analyze why someone chose a particular word when a simpler one would do.","axis3-social-attunement.json"
"Social Attunement","hypo-attuned","Hypo-Attuned","mild","baseline row 499","I tend to miss the social implications of who gets credit for an idea in a group.","axis3-social-attunement.json"
"Social Attunement","hypo-attuned","Hypo-Attuned","mild","baseline row 455","I do not usually notice when someone is nervous during a conversation unless they say so.","axis3-social-attunement.json"
"Social Attunement","hypo-attuned","Hypo-Attuned","mild","baseline row 252","I often do not notice when someone feels excluded from a group.","axis3-social-attunement.json"
"Social Attunement","hypo-attuned","Hypo-Attuned","mild","baseline row 262","I tend to miss when a conversation has a dual purpose beyond its surface topic.","axis3-social-attunement.json"
"Social Attunement","hypo-attuned","Hypo-Attuned","mild","baseline row 478","I do not usually detect when a question is rhetorical versus when someone actually wants an answer.","axis3-social-attunement.json"
"Social Attunement","hypo-attuned","Hypo-Attuned","mild","baseline row 208","I do not usually pick up on whether someone is genuinely enthusiastic or just being polite.","axis3-social-attunement.json"
"Social Attunement","hypo-attuned","Hypo-Attuned","mild","baseline row 573","I tend to focus on whether an idea is good rather than on how it was received by the group.","axis3-social-attunement.json"
"Social Attunement","hypo-attuned","Hypo-Attuned","mild","baseline row 590","I do not usually register when a person responds with slightly more distance after I said something they disagreed with.","axis3-social-attunement.json"
"Social Attunement","hypo-attuned","Hypo-Attuned","mild","baseline row 458","I tend to accept invitations at face value without wondering if there is a subtext.","axis3-social-attunement.json"
"Social Attunement","hypo-attuned","Hypo-Attuned","mild","baseline row 168","I tend to be surprised when someone tells me about interpersonal tension I had not noticed.","axis3-social-attunement.json"
"Social Attunement","hypo-attuned","Hypo-Attuned","mild","baseline row 298","I tend to miss when someone uses a particular anecdote to send a message to someone else in the group.","axis3-social-attunement.json"
"Social Attunement","hypo-attuned","Hypo-Attuned","mild","baseline row 454","I tend to assume people are in a neutral mood unless they tell me otherwise.","axis3-social-attunement.json"
"Social Attunement","hypo-attuned","Hypo-Attuned","mild","baseline row 169","I prefer straightforward conversations where everything is on the table.","axis3-social-attunement.json"
"Social Attunement","hypo-attuned","Hypo-Attuned","mild","baseline row 249","I tend to be focused on my own train of thought during conversations rather than scanning for reactions.","axis3-social-attunement.json"
"Social Attunement","hypo-attuned","Hypo-Attuned","mild","baseline row 227","I tend to take jokes and comments literally when others see layers of meaning.","axis3-social-attunement.json"
"Social Attunement","hypo-attuned","Hypo-Attuned","mild","baseline row 183","I often need someone to explain the social dynamics of a situation after the fact.","axis3-social-attunement.json"
"Social Attunement","hypo-attuned","Hypo-Attuned","mild","baseline row 498","I do not naturally sense when someone wants to be contradicted rather than agreed with.","axis3-social-attunement.json"
"Social Attunement","hypo-attuned","Hypo-Attuned","mild","baseline row 268","I usually do not notice when someone adjusts their behavior after getting a social signal from someone else.","axis3-social-attunement.json"
"Social Attunement","hypo-attuned","Hypo-Attuned","mild","baseline row 495","I do not usually notice when someone edits their story in real time based on audience reactions.","axis3-social-attunement.json"
"Social Attunement","hypo-attuned","Hypo-Attuned","mild","baseline row 219","I tend to miss the warning signs that a conversation is heading toward conflict.","axis3-social-attunement.json"
"Social Attunement","hypo-attuned","Hypo-Attuned","mild","baseline row 475","I tend to miss when someone includes me in a plan out of obligation rather than desire.","axis3-social-attunement.json"
"Social Attunement","hypo-attuned","Hypo-Attuned","mild","baseline row 493","I tend to miss when a conversational pause is an invitation for me to share something personal.","axis3-social-attunement.json"
"Social Attunement","hypo-attuned","Hypo-Attuned","mild","baseline row 285","I prefer to deal with what is said rather than speculate about what was meant.","axis3-social-attunement.json"
"Social Attunement","hypo-attuned","Hypo-Attuned","mild","baseline row 506","I tend to miss when someone frames bad news inside good news to soften the blow.","axis3-social-attunement.json"
"Social Attunement","hypo-attuned","Hypo-Attuned","moderate","baseline row 241","I do not pick up on the nonverbal signals that indicate whether a group wants my input.","axis3-social-attunement.json"
"Social Attunement","hypo-attuned","Hypo-Attuned","moderate","baseline row 211","I tend not to notice when two people share a meaningful look during a conversation.","axis3-social-attunement.json"
"Social Attunement","hypo-attuned","Hypo-Attuned","moderate","baseline row 534","I do not usually sense when the mood of a text conversation shifts because of an emoji choice or its absence.","axis3-social-attunement.json"
"Social Attunement","hypo-attuned","Hypo-Attuned","moderate","baseline row 230","I do not naturally notice who is comfortable and who is uncomfortable in a group.","axis3-social-attunement.json"
"Social Attunement","hypo-attuned","Hypo-Attuned","moderate","baseline row 250","I rarely detect the difference between someone making small talk and someone trying to connect.","axis3-social-attunement.json"
"Social Attunement","hypo-attuned","Hypo-Attuned","moderate","baseline row 222","I rarely think about what someone left unsaid after a conversation.","axis3-social-attunement.json"
"Social Attunement","hypo-attuned","Hypo-Attuned","moderate","baseline row 271","I do not naturally decode the layers of meaning in polite conversation.","axis3-social-attunement.json"
"Social Attunement","hypo-attuned","Hypo-Attuned","moderate","baseline row 295","I tend not to detect when a story is being told for the benefit of a specific listener.","axis3-social-attunement.json"
"Social Attunement","hypo-attuned","Hypo-Attuned","moderate","baseline row 588","I tend to be unaware of when someone is matching my energy level to put me at ease.","axis3-social-attunement.json"
"Social Attunement","hypo-attuned","Hypo-Attuned","moderate","baseline row 228","I find it puzzling when people say one thing but apparently mean another.","axis3-social-attunement.json"
"Social Attunement","hypo-attuned","Hypo-Attuned","moderate","baseline row 538","I tend to miss when a person's enthusiasm about a topic is meant to signal something about their values.","axis3-social-attunement.json"
"Social Attunement","hypo-attuned","Hypo-Attuned","moderate","baseline row 199","I rarely pick up on the implicit rules of a new social group without being told.","axis3-social-attunement.json"
"Social Attunement","hypo-attuned","Hypo-Attuned","moderate","baseline row 564","I do not usually notice when a person glances at their companion for confirmation before committing to a plan.","axis3-social-attunement.json"
"Social Attunement","hypo-attuned","Hypo-Attuned","moderate","baseline row 520","I tend to be the last person to realize when a social event is winding down.","axis3-social-attunement.json"
"Social Attunement","hypo-attuned","Hypo-Attuned","moderate","baseline row 196","I do not naturally sense when a room is tense.","axis3-social-attunement.json"
"Social Attunement","hypo-attuned","Hypo-Attuned","moderate","baseline row 598","I do not usually detect when a social environment has an unspoken expectation about reciprocity.","axis3-social-attunement.json"
"Social Attunement","hypo-attuned","Hypo-Attuned","moderate","baseline row 264","I rarely notice when someone is posturing for an audience during a meeting.","axis3-social-attunement.json"
"Social Attunement","hypo-attuned","Hypo-Attuned","moderate","baseline row 245","I rarely notice when someone is trying to impress a particular person in a group.","axis3-social-attunement.json"
"Social Attunement","hypo-attuned","Hypo-Attuned","moderate","baseline row 519","I do not usually notice when a text message carries emotional subtext that goes beyond the words.","axis3-social-attunement.json"
"Social Attunement","hypo-attuned","Hypo-Attuned","moderate","baseline row 549","I tend to miss the social significance of who reaches out to whom first after a conflict.","axis3-social-attunement.json"
"Social Attunement","hypo-attuned","Hypo-Attuned","moderate","baseline row 170","I find it hard to tell when someone is being sarcastic versus sincere.","axis3-social-attunement.json"
"Social Attunement","hypo-attuned","Hypo-Attuned","moderate","baseline row 548","I do not usually pick up on the difference between a question that invites discussion and one that shuts it down.","axis3-social-attunement.json"
"Social Attunement","hypo-attuned","Hypo-Attuned","moderate","baseline row 526","I do not usually notice when someone answers a question for another person to control the narrative.","axis3-social-attunement.json"
"Social Attunement","hypo-attuned","Hypo-Attuned","moderate","baseline row 237","I rarely sense when someone is tailoring their message based on who is listening.","axis3-social-attunement.json"
"Social Attunement","hypo-attuned","Hypo-Attuned","moderate","baseline row 527","I tend to miss it when someone laughs at the wrong moment because they are uncomfortable.","axis3-social-attunement.json"
"Social Attunement","hypo-attuned","Hypo-Attuned","moderate","baseline row 166","I do not automatically read into people's tone or body language.","axis3-social-attunement.json"
"Social Attunement","hypo-attuned","Hypo-Attuned","moderate","baseline row 274","I rarely pick up on the nonverbal negotiation that happens before a group makes a decision.","axis3-social-attunement.json"
"Social Attunement","hypo-attuned","Hypo-Attuned","moderate","baseline row 542","I tend to be unaware of the unspoken rules about what topics are acceptable at a particular gathering.","axis3-social-attunement.json"
"Social Attunement","hypo-attuned","Hypo-Attuned","moderate","baseline row 556","I do not usually notice when someone is carefully not mentioning a person or topic that is obviously relevant.","axis3-social-attunement.json"
"Social Attunement","hypo-attuned","Hypo-Attuned","moderate","baseline row 532","I find that I generally miss when someone uses my name mid-conversation to increase intimacy or pressure.","axis3-social-attunement.json"
"Social Attunement","hypo-attuned","Hypo-Attuned","strong","baseline row 587","I do not naturally notice when a conversation between two people nearby is meant for me to overhear.","axis3-social-attunement.json"
"Social Attunement","hypo-attuned","Hypo-Attuned","strong","baseline row 513","I tend not to register when a group's dynamic shifts because of a new piece of information.","axis3-social-attunement.json"
"Social Attunement","hypo-attuned","Hypo-Attuned","strong","baseline row 569","I tend not to read meaning into someone choosing to communicate by text versus calling versus meeting in person.","axis3-social-attunement.json"
"Social Attunement","hypo-attuned","Hypo-Attuned","strong","baseline row 525","I rarely sense when a group has an unspoken agreement about who the designated leader is.","axis3-social-attunement.json"
"Social Attunement","hypo-attuned","Hypo-Attuned","strong","baseline row 529","I rarely detect when a person's interest in a conversation suddenly spikes because of something specific that was said.","axis3-social-attunement.json"
"Social Attunement","hypo-attuned","Hypo-Attuned","strong","baseline row 576","I do not naturally detect when someone uses a group's shared values or language to gain credibility.","axis3-social-attunement.json"
"Social Attunement","hypo-attuned","Hypo-Attuned","strong","baseline row 557","I tend not to register the social dynamics of who gets the last word in a conversation.","axis3-social-attunement.json"
"Social Attunement","hypo-attuned","Hypo-Attuned","strong","baseline row 488","I do not pick up on when someone is testing my reaction before committing to a stance.","axis3-social-attunement.json"
"Social Attunement","hypo-attuned","Hypo-Attuned","strong","baseline row 561","I tend to miss the way people calibrate how much personal information to share based on their read of the room.","axis3-social-attunement.json"
"Social Attunement","hypo-attuned","Hypo-Attuned","strong","baseline row 571","I rarely notice the implicit choreography of how a group arranges itself when it walks together.","axis3-social-attunement.json"
"Social Attunement","hypo-attuned","Hypo-Attuned","strong","baseline row 539","I rarely notice when someone slows down a conversation to give a quieter person space to contribute.","axis3-social-attunement.json"
"Social Attunement","hypo-attuned","Hypo-Attuned","strong","baseline row 536","I find it difficult to tell whether a group's silence indicates contentment or suppressed disagreement.","axis3-social-attunement.json"
"Social Attunement","hypo-attuned","Hypo-Attuned","strong","baseline row 474","I do not naturally sense when a friend group has an inner circle and an outer circle.","axis3-social-attunement.json"
"Social Attunement","hypo-attuned","Hypo-Attuned","strong","baseline row 591","I tend not to notice when someone deliberately includes me in a conversation by directing a question my way.","axis3-social-attunement.json"
"Social Attunement","hypo-attuned","Hypo-Attuned","strong","baseline row 566","I find it hard to tell when someone is genuinely asking for my opinion versus looking for validation.","axis3-social-attunement.json"
"Social Attunement","hypo-attuned","Hypo-Attuned","strong","baseline row 575","I rarely sense when a person is anchoring a negotiation through seemingly casual conversation.","axis3-social-attunement.json"
"Social Attunement","hypo-attuned","Hypo-Attuned","strong","baseline row 518","I find it hard to detect when someone is being supportive on the surface but competitive underneath.","axis3-social-attunement.json"
"Social Attunement","hypo-attuned","Hypo-Attuned","strong","baseline row 505","I do not naturally sense when two people are having a power struggle disguised as polite conversation.","axis3-social-attunement.json"
"Social Attunement","hypo-attuned","Hypo-Attuned","strong","baseline row 468","I rarely consider whether the timing of a message carries meaning beyond its content.","axis3-social-attunement.json"
"Social Attunement","hypo-attuned","Hypo-Attuned","strong","baseline row 595","I tend to miss it when a person's agreement comes with a subtle qualifier that changes its meaning entirely.","axis3-social-attunement.json"
"Social Attunement","hypo-attuned","Hypo-Attuned","strong","baseline row 544","I do not naturally notice the way people position themselves during a photo to signal closeness or distance.","axis3-social-attunement.json"
"Social Attunement","hypo-attuned","Hypo-Attuned","strong","baseline row 584","I rarely register when someone raises their eyebrows briefly to acknowledge a shared understanding.","axis3-social-attunement.json"
"Social Attunement","hypo-attuned","Hypo-Attuned","strong","baseline row 465","I tend not to think about why someone chose to sit where they sat.","axis3-social-attunement.json"
"Social Attunement","hypo-attuned","Hypo-Attuned","strong","baseline row 551","I rarely notice when the formality of an interaction is mismatched with the actual closeness of the relationship.","axis3-social-attunement.json"
"Social Attunement","hypo-attuned","Hypo-Attuned","strong","baseline row 597","I rarely notice when a person carefully positions a negative opinion as a question to soften the delivery.","axis3-social-attunement.json"
"Social Attunement","hypo-attuned","Hypo-Attuned","strong","baseline row 555","I rarely sense when a social environment has an implicit dress code or behavioral code that I am violating.","axis3-social-attunement.json"
"Social Attunement","hypo-attuned","Hypo-Attuned","strong","baseline row 599","I tend not to notice when someone shifts their gaze away to signal they are done with a topic.","axis3-social-attunement.json"
"Social Attunement","hypo-attuned","Hypo-Attuned","strong","baseline row 482","I rarely notice the social dynamics of who pays for what in a group.","axis3-social-attunement.json"
"Social Attunement","hypo-attuned","Hypo-Attuned","strong","baseline row 594","I do not naturally sense when a group has collectively moved on from a topic that one person still wants to discuss.","axis3-social-attunement.json"
